May 2025 Settlement Values,
Health Care Select Sector Index (SISV),1083.39
Consumer Discretionary Select Sector Index (SISY),1565.04
Russell 1000 Index (RIR),1956.24
Russell 1000 Growth (RLR),2286.67
Russell 1000 Value (RVS),1216.66
Russell 2000 (RLS),1638.08
September 2020 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1530.58
S&P 500 (SET),3353.6
MSCI EAFE (MXS),1911.81
MSCI Emerging Markets (EFS),1108.53
Materials Select Sector Index (SISB),702.06
Communication Services Select Sector Index (SISC),310.83
Energy Select Sector Index (SISE),347.78
Industrials Select Sector Index (SISIN),796.54
Financial Select Sector Index (SISM),302.49
Consumer Staples Select Sector Index (SISR),643.07
Real Estate Select Sector Index (SISRE),174.36
Technology Select Sector Index (SIST),1144.4
Utilities Select Sector Index (SISUT),596.48
Dow Jones (DJS),278.07
Health Care Select Sector Index (SISV),1062.37
Consumer Discretionary Select Sector Index (SISY),1469.7
Russell 1000 Index (RIR),1866.83
Russell 1000 Growth (RLR),2135.21
Russell 1000 Value (RVS),1189.01
Russell 2000 (RLS),1557.61
VIX Options (VRO),26.12
August 2020 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1582.16
S&P 500 (SET),3386.27
MSCI EAFE (MXS),1879.9
MSCI Emerging Markets (EFS),1091.85
Materials Select Sector Index (SISB),653.83
Communication Services Select Sector Index (SISC),318.49
Energy Select Sector Index (SISE),374.14
Industrials Select Sector Index (SISIN),765.29
Financial Select Sector Index (SISM),299.23
Consumer Staples Select Sector Index (SISR),644.24
Real Estate Select Sector Index (SISRE),174.36
Technology Select Sector Index (SIST),1173.93
Utilities Select Sector Index (SISUT),599.57
Dow Jones (DJS),276.98
Health Care Select Sector Index (SISV),1076.68
Consumer Discretionary Select Sector Index (SISY),1469.05
Russell 1000 Index (RIR),1881.42
Russell 1000 Growth (RLR),2187.61
Russell 1000 Value (RVS),1177.02
Russell 2000 (RLS),1557.92
VIX Options (VRO),21.71
July 2020 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),25.45
S&P 100 (OEX),1484.71
S&P 500 (SET),3228.92
MSCI EAFE (MXS),1852.43
MSCI Emerging Markets (EFS),1055.06
Materials Select Sector Index (SISB),647.22
Communication Services Select Sector Index (SISC),300.65
Energy Select Sector Index (SISE),390.62
Industrials Select Sector Index (SISIN),723.65
Financial Select Sector Index (SISM),297.99
Consumer Staples Select Sector Index (SISR),620.34
Real Estate Select Sector Index (SISRE),168.48
Technology Select Sector Index (SIST),1077.37
Utilities Select Sector Index (SISUT),600.34
Dow Jones (DJS),268.17
Health Care Select Sector Index (SISV),1061.63
Consumer Discretionary Select Sector Index (SISY),1364.17
Russell 1000 Index (RIR),1790.46
Russell 1000 Growth (RLR),2020.55
Russell 1000 Value (RVS),1156.63
Russell 2000 (RLS),1468.58
June 2020 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1422.04
S&P 500 (SET),3161.26
MSCI EAFE (MXS),1803.74
MSCI Emerging Markets (EFS),1001.36
Materials Select Sector Index (SISB),605.37
Communication Services Select Sector Index (SISC),294.3
Energy Select Sector Index (SISE),429.28
Industrials Select Sector Index (SISIN),715.95
Financial Select Sector Index (SISM),301.62
Consumer Staples Select Sector Index (SISR),606.73
Real Estate Select Sector Index (SISRE),175.02
Technology Select Sector Index (SIST),1048.41
Utilities Select Sector Index (SISUT),602.24
Dow Jones (DJS),264.84
Health Care Select Sector Index (SISV),1020.28
Consumer Discretionary Select Sector Index (SISY),1315.29
Russell 1000 Index (RIR),1750.9
Russell 1000 Growth (RLR),1943.44
Russell 1000 Value (RVS),1156.26
Russell 2000 (RLS),1442.72
VIX Options (VRO),33.44
May 2020 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),28.11
S&P 100 (OEX),1323.54
S&P 500 (SET),2827.52
MSCI EAFE (MXS),1594.72
MSCI Emerging Markets (EFS),901.16
Materials Select Sector Index (SISB),530.81
Communication Services Select Sector Index (SISC),262.28
Energy Select Sector Index (SISE),374.93
Industrials Select Sector Index (SISIN),592.87
Financial Select Sector Index (SISM),257.85
Consumer Staples Select Sector Index (SISR),571.82
Real Estate Select Sector Index (SISRE),149.36
Technology Select Sector Index (SIST),920.59
Utilities Select Sector Index (SISUT),555.93
Dow Jones (DJS),234.24
Health Care Select Sector Index (SISV),1002.16
Consumer Discretionary Select Sector Index (SISY),1141.24
Russell 1000 Index (RIR),1556.86
Russell 1000 Growth (RLR),1730.34
Russell 1000 Value (RVS),1026.27
Russell 2000 (RLS),1232.39
April 2020 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1320.68
S&P 500 (SET),2855.7
MSCI EAFE (MXS),1622.3
MSCI Emerging Markets (EFS),901.31
Materials Select Sector Index (SISB),522.57
Communication Services Select Sector Index (SISC),253.65
Energy Select Sector Index (SISE),328.45
Industrials Select Sector Index (SISIN),626.44
Financial Select Sector Index (SISM),271.49
Consumer Staples Select Sector Index (SISR),606.51
Real Estate Select Sector Index (SISRE),166.39
Technology Select Sector Index (SIST),901.33
Utilities Select Sector Index (SISUT),606.01
Dow Jones (DJS),241.05
Health Care Select Sector Index (SISV),1017.59
Consumer Discretionary Select Sector Index (SISY),1132.55
Russell 1000 Index (RIR),1565.37
Russell 1000 Growth (RLR),1703.19
Russell 1000 Value (RVS),1061.41
Russell 2000 (RLS),1214.42
VIX Options (VRO),42.51
March 2020 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1065.65
S&P 500 (SET),2437.98
MSCI EAFE (MXS),1393.92
MSCI Emerging Markets (EFS),803.23
Materials Select Sector Index (SISB),446.72
Communication Services Select Sector Index (SISC),223.02
Energy Select Sector Index (SISE),270.41
Industrials Select Sector Index (SISIN),548.64
Financial Select Sector Index (SISM),242.51
Consumer Staples Select Sector Index (SISR),540.02
Real Estate Select Sector Index (SISRE),139.9
Technology Select Sector Index (SIST),762.61
Utilities Select Sector Index (SISUT),524.33
Dow Jones (DJS),202.56
Health Care Select Sector Index (SISV),832.3
Consumer Discretionary Select Sector Index (SISY),930.07
Russell 1000 Index (RIR),1331.88
Russell 1000 Growth (RLR),1426.7
Russell 1000 Value (RVS),921.15
Russell 2000 (RLS),1069.24
VIX Options (VRO),69.76
February 2020 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1493.89
S&P 500 (SET),3357.19
MSCI EAFE (MXS),2002.86
MSCI Emerging Markets (EFS),1084.22
Materials Select Sector Index (SISB),639.42
Communication Services Select Sector Index (SISC),296.52
Energy Select Sector Index (SISE),559.87
Industrials Select Sector Index (SISIN),839.69
Financial Select Sector Index (SISM),379.32
Consumer Staples Select Sector Index (SISR),647.4
Real Estate Select Sector Index (SISRE),202.1
Technology Select Sector Index (SIST),1015.45
Utilities Select Sector Index (SISUT),708.9
Dow Jones (DJS),291.05
Health Care Select Sector Index (SISV),1039.07
Consumer Discretionary Select Sector Index (SISY),1328.81
Russell 1000 Index (RIR),1860.61
Russell 1000 Growth (RLR),1910.33
Russell 1000 Value (RVS),1353.65
Russell 2000 (RLS),1694.31
VIX Options (VRO),14.51
January 2020 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),12.62
S&P 100 (OEX),1489.62
S&P 500 (SET),3326.19
MSCI EAFE (MXS),2057.74
MSCI Emerging Markets (EFS),1146.83
Materials Select Sector Index (SISB),645.51
Communication Services Select Sector Index (SISC),295.27
Energy Select Sector Index (SISE),620.14
Industrials Select Sector Index (SISIN),848.59
Financial Select Sector Index (SISM),381.47
Consumer Staples Select Sector Index (SISR),643.58
Real Estate Select Sector Index (SISRE),192.07
Technology Select Sector Index (SIST),974.36
Utilities Select Sector Index (SISUT),671.75
Dow Jones (DJS),293.42
Health Care Select Sector Index (SISV),1056.37
Consumer Discretionary Select Sector Index (SISY),1291.44
Russell 1000 Index (RIR),1838.98
Russell 1000 Growth (RLR),1854.68
Russell 1000 Value (RVS),1364.95
Russell 2000 (RLS),1715.54
December 2019 Settlement Values,
S&P 100 (OEX),1435.65
S&P 500 (SET),3231.02
VIX Options (VRO),11.99
Dow Jones (DJS),286.06
MSCI EAFE (MXS),2028.25
MSCI Emerging Markets (EFS),1107.64
RUSSELL 2000 (RLS),1672.12
Russell 1000 Index (RIR),1784.14
Russell 1000 Growth (RLR),1769.71
Russell 1000 Value (RVS),1348.21
FTSE-100 Mini Index (UKS),758.13
S&P 500 PM Settled Options (SPX),3221.22
Materials Select Sector Index (SISB),646
Communication Services Select Sector Index (SISC),283.39
Energy Select Sector Index (SISE),619.3
Industrials Select Sector Index (SISIN),821.43
Financial Select Sector Index (SISM),380.32
Consumer Staples Select Sector Index (SISR),637.29
Real Estate Select Sector Index (SISRE),185.91
Technology Select Sector Index (SIST),917.52
Utilities Select Sector Index (SISUT),652.85
Health Care Select Sector Index (SISV),1036.91
Consumer Discretionary Select Sector Index (SISY),1261.97
November 2019 Settlement Values,
S&P 100 (OEX),1388.81
S&P 500 (SET),3110.52
VIX Options (VRO),13.01
Dow Jones (DJS),278.71
MSCI EAFE (MXS),1976.69
MSCI Emerging Markets (EFS),1048.79
RUSSELL 2000 (RLS),1598.04
Russell 1000 Index (RIR),1718.28
Russell 1000 Growth (RLR),1692.41
Russell 1000 Value (RVS),1308.13
FTSE-100 Mini Index (UKS),729.88
S&P 500 PM Settled Options (SPX),3120.46
Materials Select Sector Index (SISB),642.33
Communication Services Select Sector Index (SISC),270.95
Energy Select Sector Index (SISE),601.69
Industrials Select Sector Index (SISIN),823.91
Financial Select Sector Index (SISM),365.51
Consumer Staples Select Sector Index (SISR),616.36
Real Estate Select Sector Index (SISRE),185.43
Technology Select Sector Index (SIST),874.18
Utilities Select Sector Index (SISUT),631.67
Health Care Select Sector Index (SISV),959.6
Consumer Discretionary Select Sector Index (SISY),1227.82
October 2019 Settlement Values,
S&P 100 (OEX),1321.61
S&P 500 (SET),2996.65
VIX Options (VRO),13.78
Dow Jones (DJS),269.99
MSCI EAFE (MXS),1920.09
MSCI Emerging Markets (EFS),1024.02
RUSSELL 2000 (RLS),1534.25
Russell 1000 Index (RIR),1654.42
Russell 1000 Growth (RLR),1631.07
Russell 1000 Value (RVS),1258.25
FTSE-100 Mini Index (UKS),715.99
S&P 500 PM Settled Options (SPX),2986.2
Materials Select Sector Index (SISB),609.72
Communication Services Select Sector Index (SISC),265.81
Energy Select Sector Index (SISE),578.64
Industrials Select Sector Index (SISIN),778.57
Financial Select Sector Index (SISM),344.55
Consumer Staples Select Sector Index (SISR),611.46
Real Estate Select Sector Index (SISRE),191.47
Technology Select Sector Index (SIST),819.93
Utilities Select Sector Index (SISUT),642.28
Health Care Select Sector Index (SISV),923.24
Consumer Discretionary Select Sector Index (SISY),1233.91
September 2019 Settlement Values,
S&P 100 (OEX),1321.7
S&P 500 (SET),3013.61
VIX Options (VRO),14.54
Dow Jones (DJS),271.41
MSCI EAFE (MXS),1912.66
MSCI Emerging Markets (EFS),1021.27
RUSSELL 2000 (RLS),1562.38
Russell 1000 Index (RIR),1665.83
Russell 1000 Growth (RLR),1632.83
Russell 1000 Value (RVS),1274.63
FTSE-100 Mini Index (UKS),733.89
S&P 500 PM Settled Options (SPX),2992.07
Materials Select Sector Index (SISB),621.18
Communication Services Select Sector Index (SISC),267.01
Energy Select Sector Index (SISE),620.12
Industrials Select Sector Index (SISIN),789.58
Financial Select Sector Index (SISM),349.37
Consumer Staples Select Sector Index (SISR),610.54
Real Estate Select Sector Index (SISRE),191.08
Technology Select Sector Index (SIST),818.03
Utilities Select Sector Index (SISUT),645.22
Health Care Select Sector Index (SISV),923.15
Consumer Discretionary Select Sector Index (SISY),1232.33
August 2019 Settlement Values,
S&P 100 (OEX),1275.19
S&P 500 (SET),2870.98
VIX Options (VRO),15.63
Dow Jones (DJS),257.76
MSCI EAFE (MXS),1811.86
MSCI Emerging Markets (EFS),970.27
RUSSELL 2000 (RLS),1470.56
Russell 1000 Index (RIR),1588.55
Russell 1000 Growth (RLR),1576
Russell 1000 Value (RVS),1200.16
FTSE-100 Mini Index (UKS),710.47
S&P 500 PM Settled Options (SPX),2888.68
Materials Select Sector Index (SISB),590.86
Communication Services Select Sector Index (SISC),253.59
Energy Select Sector Index (SISE),567.76
Industrials Select Sector Index (SISIN),736.94
Financial Select Sector Index (SISM),323
Consumer Staples Select Sector Index (SISR),602.08
Real Estate Select Sector Index (SISRE),186.17
Technology Select Sector Index (SIST),779.09
Utilities Select Sector Index (SISUT),616.64
Health Care Select Sector Index (SISV),903.72
Consumer Discretionary Select Sector Index (SISY),1166.57
July 2019 Settlement Values,
S&P 100 (OEX),1315.42
S&P 500 (SET),3008.06
VIX Options (VRO),12.69
Dow Jones (DJS),273.22
MSCI EAFE (MXS),1918.88
MSCI Emerging Markets (EFS),1057.49
RUSSELL 2000 (RLS),1553.56
Russell 1000 Index (RIR),1666.4
Russell 1000 Growth (RLR),1639.95
Russell 1000 Value (RVS),1269.75
FTSE-100 Mini Index (UKS),754.09
S&P 500 PM Settled Options (SPX),2976.61
Materials Select Sector Index (SISB),618.44
Communication Services Select Sector Index (SISC),263.37
Energy Select Sector Index (SISE),631.99
Industrials Select Sector Index (SISIN),778.35
Financial Select Sector Index (SISM),346.14
Consumer Staples Select Sector Index (SISR),608.52
Real Estate Select Sector Index (SISRE),181.45
Technology Select Sector Index (SIST),822.14
Utilities Select Sector Index (SISUT),617.83
Health Care Select Sector Index (SISV),932.6
Consumer Discretionary Select Sector Index (SISY),1247.19
June 2019 Settlement Values,
S&P 100 (OEX),1304.36
S&P 500 (SET),2953.9
VIX Options (VRO),14.8
Dow Jones (DJS),267.46
MSCI EAFE (MXS),1911.18
MSCI Emerging Markets (EFS),1053.23
RUSSELL 2000 (RLS),1554.55
Russell 1000 Index (RIR),1635.09
Russell 1000 Growth (RLR),1599.8
Russell 1000 Value (RVS),1253.4
FTSE-100 Mini Index (UKS),743.22
S&P 500 PM Settled Options (SPX),2950.46
Materials Select Sector Index (SISB),613.47
Communication Services Select Sector Index (SISC),257.24
Energy Select Sector Index (SISE),641.47
Industrials Select Sector Index (SISIN),778.05
Financial Select Sector Index (SISM),336.53
Consumer Staples Select Sector Index (SISR),594.03
Real Estate Select Sector Index (SISRE),184.8
Technology Select Sector Index (SIST),789.16
Utilities Select Sector Index (SISUT),614.55
Health Care Select Sector Index (SISV),936.71
Consumer Discretionary Select Sector Index (SISY),1212.85
May 2019 Settlement Values,
S&P 100 (OEX),1267.41
S&P 500 (SET),2851.23
VIX Options (VRO),15.01
Dow Jones (DJS),256.37
MSCI EAFE (MXS),1865.83
MSCI Emerging Markets (EFS),996.39
RUSSELL 2000 (RLS),1544
Russell 1000 Index (RIR),1580.19
Russell 1000 Growth (RLR),1540.8
Russell 1000 Value (RVS),1215.65
FTSE-100 Mini Index (UKS),732.52
S&P 500 PM Settled Options (SPX),2859.53
Materials Select Sector Index (SISB),575.97
Communication Services Select Sector Index (SISC),255.59
Energy Select Sector Index (SISE),641.32
Industrials Select Sector Index (SISIN),750.13
Financial Select Sector Index (SISM),328.64
Consumer Staples Select Sector Index (SISR),578.16
Real Estate Select Sector Index (SISRE),176.27
Technology Select Sector Index (SIST),754.8
Utilities Select Sector Index (SISUT),585.33
Health Care Select Sector Index (SISV),880.49
Consumer Discretionary Select Sector Index (SISY),1168.53
April 2019 Settlement Values,
S&P 100 (OEX),1287.4
S&P 500 (SET),2905.9
VIX Options (VRO),11.71
Dow Jones (DJS),264.75
MSCI EAFE (MXS),1920.41
MSCI Emerging Markets (EFS),1092.52
RUSSELL 2000 (RLS),1564.28
Russell 1000 Index (RIR),1609.43
Russell 1000 Growth (RLR),1564.57
Russell 1000 Value (RVS),1242.03
FTSE-100 Mini Index (UKS),744.68
S&P 500 PM Settled Options (SPX),2905.03
Materials Select Sector Index (SISB),610.83
Communication Services Select Sector Index (SISC),257.2
Energy Select Sector Index (SISE),683.5
Industrials Select Sector Index (SISIN),782.13
Financial Select Sector Index (SISM),336.97
Consumer Staples Select Sector Index (SISR),572.55
Real Estate Select Sector Index (SISRE),170.38
Technology Select Sector Index (SIST),781.19
Utilities Select Sector Index (SISUT),579.88
Health Care Select Sector Index (SISV),862.54
Consumer Discretionary Select Sector Index (SISY),1205.95
March 2019 Settlement Values,
S&P 100 (OEX),1247.48
S&P 500 (SET),2811.89
VIX Options (VRO),12.35
Dow Jones (DJS),257.59
MSCI EAFE (MXS),1890.31
MSCI Emerging Markets (EFS),1057.3
RUSSELL 2000 (RLS),1551.9
Russell 1000 Index (RIR),1558.79
Russell 1000 Growth (RLR),1499.6
Russell 1000 Value (RVS),1215.84
FTSE-100 Mini Index (UKS),723.22
S&P 500 PM Settled Options (SPX),2822.48
Materials Select Sector Index (SISB),586.46
Communication Services Select Sector Index (SISC),246.26
Energy Select Sector Index (SISE),660.12
Industrials Select Sector Index (SISIN),745.77
Financial Select Sector Index (SISM),325.73
Consumer Staples Select Sector Index (SISR),548.95
Real Estate Select Sector Index (SISRE),172.74
Technology Select Sector Index (SIST),727.42
Utilities Select Sector Index (SISUT),585.35
Health Care Select Sector Index (SISV),920.34
Consumer Discretionary Select Sector Index (SISY),1114.57
February 2019 Settlement Values,
S&P 100 (OEX),1217.96
S&P 500 (SET),2768.87
VIX Options (VRO),15.6
Dow Jones (DJS),256.58
MSCI EAFE (MXS),1840.1
MSCI Emerging Markets (EFS),1030.64
RUSSELL 2000 (RLS),1553.73
Russell 1000 Index (RIR),1536.38
Russell 1000 Growth (RLR),1474.55
Russell 1000 Value (RVS),1201.21
FTSE-100 Mini Index (UKS),722.93
S&P 500 PM Settled Options (SPX),2775.6
Materials Select Sector Index (SISB),576.07
Communication Services Select Sector Index (SISC),242.06
Energy Select Sector Index (SISE),661.64
Industrials Select Sector Index (SISIN),752.97
Financial Select Sector Index (SISM),321.46
Consumer Staples Select Sector Index (SISR),545.95
Real Estate Select Sector Index (SISRE),169.53
Technology Select Sector Index (SIST),698.89
Utilities Select Sector Index (SISUT),562.73
Health Care Select Sector Index (SISV),925.29
Consumer Discretionary Select Sector Index (SISY),1110.48
January 2019 Settlement Values,
S&P 100 (OEX),1181.55
S&P 500 (SET),2657.47
VIX Options (VRO),18.87
Dow Jones (DJS),245.74
MSCI EAFE (MXS),1805.1
MSCI Emerging Markets (EFS),1018
RUSSELL 2000 (RLS),1472.14
Russell 1000 Index (RIR),1470.87
Russell 1000 Growth (RLR),1401.31
Russell 1000 Value (RVS),1158.44
FTSE-100 Mini Index (UKS),690.14
S&P 500 PM Settled Options (SPX),2670.71
December 2018 Settlement Values,
S&P 100 (OEX),1071.32
S&P 500 (SET),2458.9
VIX Options (VRO),26.2
Dow Jones (DJS),227.85
NASDAQ 100 (NDS),6244.47
MSCI EAFE (MXS),1706.01
MSCI Emerging Markets (EFS),957.34
RUSSELL 2000 (RLS),1326.22
Russell 1000 Index (RIR),1358.14
Russell 1000 Growth (RLR),1285.13
Russell 1000 Value (RVS),1076.84
FTSE-100 Mini Index (UKS),667.37
S&P 500 PM Settled Options (SPX),2416.62
November 2018 Settlement Values,
S&P 100 (OEX),1213.73
S&P 500 (SET),2715.99
VIX Options (VRO),22.07
Dow Jones (DJS),251.68
NASDAQ 100 (NDS),6817.85
MSCI EAFE (MXS),1812.84
MSCI Emerging Markets (EFS),986.31
RUSSELL 2000 (RLS),1513.45
Russell 1000 Index (RIR),1500.41
Russell 1000 Growth (RLR),1412.13
Russell 1000 Value (RVS),1195.81
FTSE-100 Mini Index (UKS),703.9
S&P 500 PM Settled Options (SPX),2736.27
October 2018 Settlement Values,
S&P 100 (OEX),1236.09
S&P 500 (SET),2775
VIX Options (VRO),17.23
Dow Jones (DJS),254.26
NASDAQ 100 (NDS),7161.42
MSCI EAFE (MXS),1849.37
MSCI Emerging Markets (EFS),971.47
RUSSELL 2000 (RLS),1559.05
Russell 1000 Index (RIR),1534.4
Russell 1000 Growth (RLR),1470.96
Russell 1000 Value (RVS),1201.2
FTSE-100 Mini Index (UKS),702.03
S&P 500 PM Settled Options (SPX),2767.78
September 2018 Settlement Values,
S&P 100 (OEX),1298.14
S&P 500 (SET),2940.45
VIX Options (VRO),11.94
Dow Jones (DJS),267.72
NASDAQ 100 (NDS),7599.98
MSCI EAFE (MXS),1994.97
MSCI Emerging Markets (EFS),1051.44
RUSSELL 2000 (RLS),1720.35
Russell 1000 Index (RIR),1629.33
Russell 1000 Growth (RLR),1567.95
Russell 1000 Value (RVS),1270.69
FTSE-100 Mini Index (UKS),743.61
S&P 500 PM Settled Options (SPX),2929.67
August 2018 Settlement Values,
S&P 100 (OEX),1262.32
S&P 500 (SET),2838.69
VIX Options (VRO),12.61
Dow Jones (DJS),255.58
NASDAQ 100 (NDS),7352.3
MSCI EAFE (MXS),1927.78
MSCI Emerging Markets (EFS),1022.94
RUSSELL 2000 (RLS),1681.69
Russell 1000 Index (RIR),1574.06
Russell 1000 Growth (RLR),1508.75
Russell 1000 Value (RVS),1232.43
FTSE-100 Mini Index (UKS),755.02
S&P 500 PM Settled Options (SPX),2850.13
July 2018 Settlement Values,
S&P 100 (OEX),1236.33
S&P 500 (SET),2802.41
VIX Options (VRO),12.38
Dow Jones (DJS),249.82
NASDAQ 100 (NDS),7384.13
MSCI EAFE (MXS),1985.19
MSCI Emerging Markets (EFS),1070.07
RUSSELL 2000 (RLS),1701
Russell 1000 Index (RIR),1556.61
Russell 1000 Growth (RLR),1503.27
Russell 1000 Value (RVS),1209.68
FTSE-100 Mini Index (UKS),769.54
S&P 500 PM Settled Options (SPX),2801.83
June 2018 Settlement Values,
S&P 100 (OEX),1220.26
S&P 500 (SET),2776.85
VIX Options (VRO),12.27
Dow Jones (DJS),250.58
NASDAQ 100 (NDS),7265.4
MSCI EAFE (MXS),2000.09
MSCI Emerging Markets (EFS),1113.76
RUSSELL 2000 (RLS),1677.75
Russell 1000 Index (RIR),1542.48
Russell 1000 Growth (RLR),1479.8
Russell 1000 Value (RVS),1206.3
FTSE-100 Mini Index (UKS),771.27
S&P 500 PM Settled Options (SPX),2779.66
May 2018 Settlement Values,
S&P 100 (OEX),1190.65
S&P 500 (SET),2716.88
VIX Options (VRO),13.79
RVX Options (RSL),14.83
Dow Jones (DJS),247.08
NASDAQ 100 (NDS),6884.87
MSCI EAFE (MXS),2047.36
MSCI Emerging Markets (EFS),1137.75
RUSSELL 2000 (RLS),1630.25
Russell 1000 Index (RIR),1507.51
Russell 1000 Growth (RLR),1419.18
Russell 1000 Value (RVS),1203.92
FTSE-100 Mini Index (UKS),778.45
S&P 500 PM Settled Options (SPX),2712.97
April 2018 Settlement Values,
S&P 100 (OEX),1170.45
S&P 500 (SET),2693.4
VIX Options (VRO),17.26
RVX Options (RSL),15.59
Dow Jones (DJS),246.59
NASDAQ 100 (NDS),6752.78
MSCI EAFE (MXS),2050.72
MSCI Emerging Markets (EFS),1168.24
RUSSELL 2000 (RLS),1568.16
Russell 1000 Index (RIR),1493.73
Russell 1000 Growth (RLR),1396.82
Russell 1000 Value (RVS),1201.59
FTSE-100 Mini Index (UKS),735.07
S&P 500 PM Settled Options (SPX),2670.14
March 2018 Settlement Values,
S&P 100 (OEX),1211.4
S&P 500 (SET),2751.83
VIX Options (VRO),17.76
RVX Options (RSL),18.87
Dow Jones (DJS),248.79
NASDAQ 100 (NDS),7052.61
MSCI EAFE (MXS),2043.59
MSCI Emerging Markets (EFS),1213.14
RUSSELL 2000 (RLS),1576.82
Russell 1000 Index (RIR),1524.71
Russell 1000 Growth (RLR),1436.87
Russell 1000 Value (RVS),1216.27
FTSE-100 Mini Index (UKS),715.06
S&P 500 PM Settled Options (SPX),2752.01
February 2018 Settlement Values,
S&P 100 (OEX),1208.88
S&P 500 (SET),2725.08
VIX Options (VRO),21.87
RVX Options (RSL),21.45
Dow Jones (DJS),251.67
NASDAQ 100 (NDS),6779.91
MSCI EAFE (MXS),2075.67
MSCI Emerging Markets (EFS),1199.74
RUSSELL 2000 (RLS),1531.7
Russell 1000 Index (RIR),1508.18
Russell 1000 Growth (RLR),1405.65
Russell 1000 Value (RVS),1217.51
FTSE-100 Mini Index (UKS),728.05
S&P 500 PM Settled Options (SPX),2732.22
January 2018 Settlement Values,
S&P 100 (OEX),1245.7
S&P 500 (SET),2806.67
VIX Options (VRO),12.61
RVX Options (RSL),15.26
Dow Jones (DJS),260.45
NASDAQ 100 (NDS),6832.05
MSCI EAFE (MXS),2152.4
MSCI Emerging Markets (EFS),1232.6
RUSSELL 2000 (RLS),1574.96
Russell 1000 Index (RIR),1552.82
Russell 1000 Growth (RLR),1433.01
Russell 1000 Value (RVS),1266.66
FTSE-100 Mini Index (UKS),771.88
FTSE China 50 Mini Index (FZS),231.83
FTSE Emerging Index Options (EMS),605.65
S&P 500 PM Settled Options (SPX),2810.3
December 2017 Settlement Values,
S&P 100 (OEX),1186.68
S&P 500 (SET),2669.02
VIX Options (VRO),8.75
RVX Options (RSL),14.67
Dow Jones (DJS),246.7
NASDAQ 100 (NDS),6436.94
MSCI EAFE (MXS),2007.97
MSCI Emerging Markets (EFS),1118.5
RUSSELL 2000 (RLS),1510.22
Russell 1000 Index (RIR),1477.28
Russell 1000 Growth (RLR),1353.63
Russell 1000 Value (RVS),1213.94
FTSE-100 Mini Index (UKS),744.6
FTSE China 50 Mini Index (FZS),200.98
FTSE Emerging Index Options (EMS),544.02
S&P 500 PM Settled Options (SPX),2675.81
November 2017 Settlement Values,
S&P 100 (OEX),1135.35
S&P 500 (SET),2580.25
VIX Options (VRO),13.79
RVX Options (RSL),16.59
Dow Jones (DJS),234.03
NASDAQ 100 (NDS),6349.35
MSCI EAFE (MXS),1986.15
MSCI Emerging Markets (EFS),1136.45
RUSSELL 2000 (RLS),1481.08
Russell 1000 Index (RIR),1430.06
Russell 1000 Growth (RLR),1316.8
Russell 1000 Value (RVS),1169.22
FTSE-100 Mini Index (UKS),736.37
FTSE China 50 Mini Index (FZS),206.1
FTSE Emerging Index Options (EMS),548.73
S&P 500 PM Settled Options (SPX),2578.85
October 2017 Settlement Values,
S&P 100 (OEX),1135.26
S&P 500 (SET),2571.76
VIX Options (VRO),10.53
RVX Options (RSL),13.88
Dow Jones (DJS),232.52
NASDAQ 100 (NDS),6122.05
MSCI EAFE (MXS),1997.74
MSCI Emerging Markets (EFS),1119.69
RUSSELL 2000 (RLS),1513.92
Russell 1000 Index (RIR),1425.72
Russell 1000 Growth (RLR),1291.85
Russell 1000 Value (RVS),1184.94
FTSE-100 Mini Index (UKS),754.77
FTSE China 50 Mini Index (FZS),203.07
FTSE Emerging Index Options (EMS),546.56
S&P 500 PM Settled Options (SPX),2575.21
September 2017 Settlement Values,
S&P 100 (OEX),1105.11
S&P 500 (SET),2496.83
VIX Options (VRO),9.87
RVX Options (RSL),12.38
Dow Jones (DJS),222.83
NASDAQ 100 (NDS),5973.85
MSCI EAFE (MXS),1964.3
MSCI Emerging Markets (EFS),1102.16
RUSSELL 2000 (RLS),1427.02
Russell 1000 Index (RIR),1383.06
Russell 1000 Growth (RLR),1250.91
Russell 1000 Value (RVS),1151.59
FTSE-100 Mini Index (UKS),723.43
FTSE China 50 Mini Index (FZS),194.81
FTSE Emerging Index Options (EMS),542.89
S&P 500 PM Settled Options (SPX),2500.23
August 2017 Settlement Values,
S&P 100 (OEX),1073.52
S&P 500 (SET),2425.9
VIX Options (VRO),12.95
RVX Options (RSL),15.62
Dow Jones (DJS),217.11
NASDAQ 100 (NDS),5793.88
MSCI EAFE (MXS),1916.68
MSCI Emerging Markets (EFS),1059.54
RUSSELL 2000 (RLS),1348.7
Russell 1000 Index (RIR),1342.92
Russell 1000 Growth (RLR),1210.29
Russell 1000 Value (RVS),1122.12
