May 2025 Settlement Values,
MSCI EAFE (MXS),2420.93
MSCI Emerging Markets (EFS),1106.44
Materials Select Sector Index (SISB),996.03
Communication Services Select Sector Index (SISC),463.81
Energy Select Sector Index (SISE),926.65
Industrials Select Sector Index (SISIN),1339.55
Financial Select Sector Index (SISM),560.23
Consumer Staples Select Sector Index (SISR),836.64
Real Estate Select Sector Index (SISRE),218.25
Technology Select Sector Index (SIST),2237.16
Utilities Select Sector Index (SISUT),806.24
Dow Jones (DJS),419.46
Health Care Select Sector Index (SISV),1565.87
Consumer Discretionary Select Sector Index (SISY),1983.84
Russell 1000 Index (RIR),3113.2
Russell 1000 Growth (RLR),3750.66
Russell 1000 Value (RVS),1847.25
Mini-SPX (XSP),570.25
Russell 2000 (RLS),2244.45
VIX Options (VRO),18.69
August 2024 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),16.11
MSCI ACWI Net Total Return USD Index,441.09
MSCI USA Index,251.16
MSCI World Index,112.91
S&P 100 (OEX),2679.6
S&P 500 Scored & Screened Index,491.3
S&P 500 (SET),5531.38
S&P 500 PM-Settled,5554.25
MSCI EAFE (MXS),2374.84
MSCI Emerging Markets (EFS),1093.65
Materials Select Sector Index (SISB),961.17
Communication Services Select Sector Index (SISC),450.6
Energy Select Sector Index (SISE),948.65
Industrials Select Sector Index (SISIN),1279.31
Financial Select Sector Index (SISM),538.51
Consumer Staples Select Sector Index (SISR),813.09
Real Estate Select Sector Index (SISRE),205.35
Technology Select Sector Index (SIST),2228.6
Utilities Select Sector Index (SISUT),751.81
Dow Jones (DJS),405.08
Health Care Select Sector Index (SISV),1543.4
Consumer Discretionary Select Sector Index (SISY),1849.55
Russell 1000 Index (RIR),3016
Russell 1000 Growth (RLR),3642.97
Russell 1000 Value (RVS),1784.48
Mini-SPX (XSP),555.43
Russell 2000 (RLS),2130.48
July 2024 Settlement Values,
INDEX,SETTLEMENT VALUE
MSCI ACWI Net Total Return USD Index,437.07
MSCI USA Index,248.66
MSCI World Index,111.83
S&P 100 (OEX),2661.46
S&P 500 Scored & Screened Index,496
S&P 500 (SET),5551.02
S&P 500 PM-Settled,5505
MSCI EAFE (MXS),2360.51
MSCI Emerging Markets (EFS),1089.61
Materials Select Sector Index (SISB),956.84
Communication Services Select Sector Index (SISC),444.62
Energy Select Sector Index (SISE),972.27
Industrials Select Sector Index (SISIN),1259.11
Financial Select Sector Index (SISM),528.29
Consumer Staples Select Sector Index (SISR),790.08
Real Estate Select Sector Index (SISRE),198.9
Technology Select Sector Index (SIST),2224.49
Utilities Select Sector Index (SISUT),710.28
Dow Jones (DJS),406.28
Health Care Select Sector Index (SISV),1493.8
Consumer Discretionary Select Sector Index (SISY),1897.35
Russell 1000 Index (RIR),3025.12
Russell 1000 Growth (RLR),3662.52
Russell 1000 Value (RVS),1785.25
Mini-SPX (XSP),550.5
Russell 2000 (RLS),2200.19
VIX Options (VRO),13.89
June 2024 Settlement Values,
INDEX,SETTLEMENT VALUE
MSCI ACWI Net Total Return USD Index,431.41
MSCI USA Index,246.43
MSCI World Index,110.31
S&P 100 (OEX),2642.48
S&P 500 Scored & Screened Index,487.2
S&P 500 (SET),5471.89
S&P 500 PM-Settled,5464.62
MSCI EAFE (MXS),2307.56
MSCI Emerging Markets (EFS),1086.93
Materials Select Sector Index (SISB),948.83
Communication Services Select Sector Index (SISC),443.34
Energy Select Sector Index (SISE),936.29
Industrials Select Sector Index (SISIN),1237.16
Financial Select Sector Index (SISM),508.29
Consumer Staples Select Sector Index (SISR),780.59
Real Estate Select Sector Index (SISRE),187.42
Technology Select Sector Index (SIST),2293.82
Utilities Select Sector Index (SISUT),697.95
Dow Jones (DJS),392.62
Health Care Select Sector Index (SISV),1479.66
Consumer Discretionary Select Sector Index (SISY),1841.73
Russell 1000 Index (RIR),2978.08
Russell 1000 Growth (RLR),3668.88
Russell 1000 Value (RVS),1723.63
Mini-SPX (XSP),546.46
Russell 2000 (RLS),2015.54
VIX Options (VRO),12.39
May 2024 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),12
MSCI ACWI Net Total Return USD Index,427.34
MSCI USA Index,239.46
MSCI World Index,109.05
S&P 100 (OEX),2522.63
S&P 500 Scored & Screened Index,470.63
S&P 500 (SET),5313.12
S&P 500 PM-Settled,5303.27
MSCI EAFE (MXS),2381.35
MSCI Emerging Markets (EFS),1099.79
Materials Select Sector Index (SISB),977.51
Communication Services Select Sector Index (SISC),431.45
Energy Select Sector Index (SISE),992.61
Industrials Select Sector Index (SISIN),1261.99
Financial Select Sector Index (SISM),522.45
Consumer Staples Select Sector Index (SISR),788.18
Real Estate Select Sector Index (SISRE),189.95
Technology Select Sector Index (SIST),2131.16
Utilities Select Sector Index (SISUT),729.43
Dow Jones (DJS),400.13
Health Care Select Sector Index (SISV),1476.65
Consumer Discretionary Select Sector Index (SISY),1803.77
Russell 1000 Index (RIR),2908.06
Russell 1000 Growth (RLR),3457.65
Russell 1000 Value (RVS),1761.23
Mini-SPX (XSP),530.33
Russell 2000 (RLS),2104.5
April 2024 Settlement Values,
INDEX,SETTLEMENT VALUE
MSCI ACWI Net Total Return USD Index,398.62
MSCI USA Index,223.81
MSCI World Index,102
S&P 100 (OEX),2348.68
S&P 500 Scored & Screened Index,441.88
S&P 500 (SET),5012.1
S&P 500 PM-Settled,4967.23
MSCI EAFE (MXS),2236.31
MSCI Emerging Markets (EFS),1004.17
Materials Select Sector Index (SISB),944.2
Communication Services Select Sector Index (SISC),415.21
Energy Select Sector Index (SISE),998.87
Industrials Select Sector Index (SISIN),1214.92
Financial Select Sector Index (SISM),497.98
Consumer Staples Select Sector Index (SISR),751.54
Real Estate Select Sector Index (SISRE),176.03
Technology Select Sector Index (SIST),1939.71
Utilities Select Sector Index (SISUT),662.31
Dow Jones (DJS),378.78
Health Care Select Sector Index (SISV),1403.62
Consumer Discretionary Select Sector Index (SISY),1714.89
Russell 1000 Index (RIR),2743.51
Russell 1000 Growth (RLR),3241.85
Russell 1000 Value (RVS),1674.19
Mini-SPX (XSP),496.72
Russell 2000 (RLS),1934.26
VIX Options (VRO),18.03
March 2024 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),14.17
S&P 100 (OEX),2420.03
S&P 500 Scored & Screened Index,450.13
S&P 500 (SET),5101.67
S&P 500 PM-Settled,5117.09
MSCI EAFE (MXS),2325.12
MSCI Emerging Markets (EFS),1034.74
Materials Select Sector Index (SISB),961.44
Communication Services Select Sector Index (SISC),413.85
Energy Select Sector Index (SISE),955.53
Industrials Select Sector Index (SISIN),1228.07
Financial Select Sector Index (SISM),501.78
Consumer Staples Select Sector Index (SISR),758.97
Real Estate Select Sector Index (SISRE),190.78
Technology Select Sector Index (SIST),2068.96
Utilities Select Sector Index (SISUT),637.41
Dow Jones (DJS),386.91
Health Care Select Sector Index (SISV),1465.67
Consumer Discretionary Select Sector Index (SISY),1795.47
Russell 1000 Index (RIR),2795.82
Russell 1000 Growth (RLR),3321.72
Russell 1000 Value (RVS),1694.81
Mini-SPX (XSP),511.71
Russell 2000 (RLS),2019.05
February 2024 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),2369.76
S&P 500 Scored & Screened Index,443.98
S&P 500 (SET),5029.6
S&P 500 PM-Settled,5005.57
MSCI EAFE (MXS),2257.21
MSCI Emerging Markets (EFS),1016.23
Materials Select Sector Index (SISB),904.44
Communication Services Select Sector Index (SISC),412.73
Energy Select Sector Index (SISE),895.26
Industrials Select Sector Index (SISIN),1189.62
Financial Select Sector Index (SISM),488.15
Consumer Staples Select Sector Index (SISR),738.25
Real Estate Select Sector Index (SISRE),188.43
Technology Select Sector Index (SIST),2038.81
Utilities Select Sector Index (SISUT),617.78
Dow Jones (DJS),387.13
Health Care Select Sector Index (SISV),1469.81
Consumer Discretionary Select Sector Index (SISY),1808.1
Russell 1000 Index (RIR),2759.93
Russell 1000 Growth (RLR),3300.64
Russell 1000 Value (RVS),1659.54
Mini-SPX (XSP),500.56
Russell 2000 (RLS),2049.03
VIX Options (VRO),14.32
January 2024 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),2290.09
S&P 500 Scored & Screened Index,425.29
S&P 500 (SET),4799.62
S&P 500 PM-Settled,4839.81
MSCI EAFE (MXS),2179.25
MSCI Emerging Markets (EFS),970.91
Materials Select Sector Index (SISB),873.92
Communication Services Select Sector Index (SISC),391.02
Energy Select Sector Index (SISE),844
